hypervolume,epsilon_progress,nfe
0.0,0,0
0.9104222339925859,15,100
0.9780808207497224,39,1197
0.0,57,2293
0.0,73,3388
0.0,86,4446
0.0,94,5448
0.0,96,6451
0.0,96,7514
0.0,96,8585
0.0,96,9656
0.0,96,10658
0.0,96,11704
0.0,96,12719
0.0,96,13761
0.0,96,14765
0.0,96,15778
0.0,96,16794
0.0,96,17863
0.0,96,18905
0.0,96,19944
0.0,96,20951
0.0,96,22012
0.0,96,23079
0.0,96,24081
0.0,96,25111
0.0,96,26178
0.0,96,27207
0.0,96,28228
0.0,96,29253
0.0,96,30254
0.0,96,31316
0.0,96,32335
0.0,96,33380
0.0,96,34399
0.0,96,35468
0.0,96,36509
0.0,96,37581
0.0,96,38611
0.0,96,39672
0.0,96,40696
0.0,96,41713
0.0,96,42727
0.0,96,43734
0.0,96,44740
0.0,96,45783
0.0,96,46795
0.0,96,47862
0.0,96,48940
0.0,96,49985
0.0,96,51055
0.0,96,52081
0.0,96,53106
0.0,96,54136
0.0,96,55153
0.0,96,56225
0.0,96,57273
0.0,96,58334
0.0,96,59385
0.0,96,60392
0.0,96,61397
0.0,96,62468
0.0,96,63542
0.0,96,64558
0.0,96,65577
0.0,96,66583
0.0,96,67641
0.0,96,68695
0.0,96,69698
0.0,96,70720
0.0,96,71722
0.0,96,72778
0.0,96,73861
0.0,96,74870
0.0,96,75937
0.0,96,76954
0.0,96,77959
0.0,96,78963
0.0,96,79967
0.0,96,80976
0.0,96,81982
0.0,96,82989
0.0,96,83993
0.0,96,84996
0.0,96,86004
0.0,96,87011
0.0,96,88019
0.0,96,89026
0.0,96,90033
0.0,96,91042
0.0,96,92049
0.0,96,93055
0.0,96,94058
0.0,96,95060
0.0,96,96063
0.0,96,97065
0.0,96,98073
0.0,96,99075
