,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,7,6,0,7,2,1,10,6,7,6,7,1,6,2,7
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,4,0,5,5,1,5,6,0,6,3,5,7,2,1
2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,7,9,2,10,5,3,7,5,3,7,2,0,9,5,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,5,6,6,0,0,5,7,2,3,5,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,3,1,3,6,0,0,7,2,0,6,4,4
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,6,4,0,2,6,6,5,5,6,6,4,4,2
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,2,1,3,7,0,1,4,2,0,6,5,4
7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,7,0,2,2,3,1,5,7,0,5,5,6,7,2,1
8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,6,0,7,4,3,1,9,6,5,6,6,6,6,3,6
9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,1,1,5,1,7,6,0,4,7,5,6,9,0,6
